Facility description,Facillity name ,Monthly attendence ,Month ,Year ,Address ,Town,Postcode,Website
Museums,Riverside Museum,48521,September,2013,100 Pointhouse Place,Glasgow,G3 8RS,http://www.glasgowlife.org.uk/museums/riverside/Pages/default.aspx
Museums,Kelvingrove Art Gallery and Museum ,94996,September,2013,Argyle Street,Glasgow,G3 8AG,http://www.glasgowlife.org.uk/museums/kelvingrove/Pages/default.aspx
Museums,The Burrell Collection,17852,September,2013,2060 Pollokshaws Road,Glasgow,G43 1AT,http://www.glasgowlife.org.uk/museums/burrell-collection/Pages/default.aspx
Museums,St Mungo Museum of Religious Life & Art,11401,September,2013,2 Castle Street,Glasgow,G4 0RH,http://www.glasgowlife.org.uk/museums/st-mungos/Pages/default.aspx
Museums,People's Palace,26268,September,2013,Glasgow Green ,Glasgow,G40 1AT,http://www.glasgowlife.org.uk/museums/peoples-palace/Pages/default.aspx
Museums,Gallery of Modern Art,49286,September,2013,Royal Exchange Square,Glasgow,G1 3AH,http://www.glasgowlife.org.uk/museums/GoMA/Pages/default.aspx
Museums,Scotland Street School Museum,5186,September,2013,225 Scotland Street,Glasgow,G5 8QB,http://www.glasgowlife.org.uk/museums/scotland-street/Pages/default.aspx
Museums,Provand's Lordship,6450,September,2013,3 Castle Street,Glasgow,G4 0RB,http://www.glasgowlife.org.uk/museums/provands-lordship/Pages/default.aspx
Museums,Glasgow Museums Resource Centre,1271,September,2013,"200 Woodhead Road, South Nitshill Industrial Estate",Glasgow,G53 7NN,http://www.glasgowlife.org.uk/museums/GMRC/Pages/default.aspx
Arts,Tramway,"12,980",September,2013,25 Albert Drive,Glasgow,G41 2PE,http://www.tramway.org/Pages/home.aspx
Arts,Trongate 103,"14,601",September,2013,103 Trongate,Glasgow,G1 5HD,http://www.trongate103.com/
Community Facility,Balgrayhill Tenants Hall,549,September,2013,139 Balgrayhill Road,Glasgow,G21 3AE,http://www.glasgowlife.org.uk/venue-hire/community-facilities/balgrayhill-th/Pages/home.aspx
Community Facility,Barlanark Community Centre,"5,534",September,2013,33 Burnmouth Road,Glasgow,G33 4RZ,http://www.glasgowlife.org.uk/venue-hire/community-facilities/barlanark-community-centre/Pages/default.aspx
Community Facility,Barmulloch Community Centre,"7,169",September,2013,46 Wallacewell Quadrant,Glasgow,G21 3PX,http://www.glasgowlife.org.uk/venue-hire/community-facilities/barmulloch-community-centre/Pages/default.aspx
Community Facility,Bellcraig Community Centre,"3,006",September,2013,10 Gorstan Street,Glasgow,G23 5QA,http://www.glasgowlife.org.uk/venue-hire/community-facilities/bellcraig-community-centre/Pages/default.aspx
Community Facility,Bluevale Neighbourhood Centre,"1,322",September,2013,30 Abernethy Street,Glasgow,G31 3SX,http://www.glasgowlife.org.uk/venue-hire/community-facilities/bluevale-neighbourhood-centre/Pages/default.aspx
Community Facility,Castlemilk Community Centre,"7,151",September,2013,121 Castlemilk Drive,Glasgow,G45 9UG,http://www.glasgowlife.org.uk/venue-hire/community-facilities/castlemilk-community-centre/Pages/default.aspx
Community Facility,Couper Institute,"2,574",September,2013,86 Clarkston Road,Glasgow,G44 3DA,http://www.glasgowlife.org.uk/venue-hire/community-facilities/Couper-Institute/Pages/default.aspx
Community Facility,Cranhill Beacon,"1,592",September,2013,200 Bellrock Street,Glasgow,G33 3LZ,
Community Facility,Darnley Community Centre,"3,216",September,2013,10 Glen Livet Place,Glasgow,G53 7LA,http://www.glasgowlife.org.uk/venue-hire/community-facilities/Darnley-Community-Centre/Pages/default.aspx
Community Facility,Drumchapel Community Centre,"5,259",September,2013,320 Kinfauns Drive ,Glasgow,G15 7HA,http://www.glasgowlife.org.uk/venue-hire/community-facilities/drumchapel-community-centre/Pages/default.aspx
Community Facility,Garrowhill Community Hall,"1,817",September,2013,"31/35 Maxwell Drive, Garrowhill",Glasgow,G69 6LU,http://www.glasgowlife.org.uk/venue-hire/community-facilities/garrowhill-community-hall/Pages/default.aspx
